Protein_ID,Compound_ID,Label
Q52383,SUB-1045,1
P25774,SUB-6927,1
P30863,SUB-4529,1
P15559,SUB-2460,0
Q63880,SUB-2231,0
F2YCB6,SUB-190,0
P00634,SUB-3103,1
Q52675,SUB-75,1
Q04631,SUB-4234,0
O33853,SUB-4120,0
Q96PD6,SUB-7281,0
P0ABF6,SUB-1121,0
D2K7Z0,SUB-5024,1
P07896,SUB-8195,1
P05793,SUB-3067,0
P06621,SUB-2176,0
C9JRZ8,SUB-1039,0
A1JHN0,SUB-6922,0
Q06174,SUB-7598,0
Q76KC2,SUB-6691,1
P20933,SUB-2420,0
P00183,SUB-8087,0
P29218,SUB-8621,1
P07524,SUB-6777,0
Q6N8N2,SUB-3065,0
P31513,SUB-7966,1
P59337,SUB-9601,0
A5A0S1,SUB-3043,1
Q8TEY0,SUB-8070,1
Q9SU79,SUB-6762,1
P20456,SUB-971,1
P46959,SUB-6176,0
P39714,SUB-9332,0
R9W5L0,SUB-3261,1
E4QP00,SUB-5517,1
Q04631,SUB-3315,1
Q9P979,SUB-3475,1
H3JQW0,SUB-1773,0
P04963,SUB-7818,0
P06622,SUB-9255,1
P27707,SUB-4875,0
Q9HBQ7,SUB-5351,0
P51661,SUB-3644,0
Q8KWI9,SUB-9206,1
Q08224,SUB-1539,1
P42328,SUB-6220,0
Q06902,SUB-5176,0
P47989,SUB-2274,1
Q9HA79,SUB-6409,1
P00591,SUB-8519,0
P0A110,SUB-1782,1
P39464,SUB-5078,0
Q60FX6,SUB-3146,1
Q988D3,SUB-1294,1
Q9C1S6,SUB-1789,1
Q84F14,SUB-15,1
Q8GZC2,SUB-4589,1
Q9Y3D8,SUB-9351,1
B3IVI7,SUB-10076,1
B9W4V6,SUB-3105,0
Q76HN6,SUB-10326,0
O73949,SUB-9206,1
P81908,SUB-2482,0
P52895,SUB-3002,1
P59337,SUB-1765,1
A7LCL0,SUB-6027,1
P00371,SUB-842,0
P18548,SUB-2882,0
C7FF05,SUB-7576,0
P17109,SUB-4168,1
O24641,SUB-6178,1
P11344,SUB-10079,0
P22303,SUB-7166,0
B8K1W1,SUB-5324,1
Q9KAN9,SUB-3423,1
P50455,SUB-8792,0
P28845,SUB-9363,0
P14743,SUB-95,1
P0A6W0,SUB-9433,1
P37528,SUB-3585,1
Q99JW2,SUB-1795,0
Q5GCA8,SUB-5047,0
P04963,SUB-5752,0
Q9NUW8,SUB-7841,1
P37528,SUB-5679,0
P06999,SUB-9183,1
P11544,SUB-8398,0
Q58820,SUB-7820,1
Q8L3C9,SUB-1376,1
P40817,SUB-6385,0
Q26998,SUB-2061,1
F9UM18,SUB-8892,1
P0A6K3,SUB-3154,1
Q5FTU6,SUB-9624,0
Q52675,SUB-1793,0
P51058,SUB-4269,0
Q13822,SUB-5928,0
B0FSQ0,SUB-6443,0
B5MFC9,SUB-6466,0
T2HVB4,SUB-7083,0
P37058,SUB-3755,1
P80679,SUB-1051,0
P00560,SUB-4866,0
O94219,SUB-3444,1
P18548,SUB-4704,1
P48425,SUB-3186,0
Q75SP7,SUB-7171,0
Q9Y6K0,SUB-2570,1
O35350,SUB-2848,0
Q9Z354,SUB-7581,1
Q96KN2,SUB-9835,0
Q02127,SUB-6247,0
P07962,SUB-303,0
Q05469,SUB-8485,0
Q99JW2,SUB-4989,1
Q05469,SUB-7810,0
P05364,SUB-1985,0
P18417,SUB-258,1
O52933,SUB-8919,0
Q5NTH0,SUB-6000,0
Q12737,SUB-8227,0
Q70EX8,SUB-6732,1
P78329,SUB-9752,1
Q96KN2,SUB-7155,1
Q00IB3,SUB-3851,1
P04963,SUB-2863,0
Q8WNV7,SUB-812,0
P52895,SUB-8605,0
Q04631,SUB-4552,1
A9QXE0,SUB-7025,0
F2Z6G7,SUB-5984,1
Q00441,SUB-1573,0
P06802,SUB-5172,1
Q06902,SUB-6586,0
Q9BYV7,SUB-4933,1
I3RYX9,SUB-866,1
Q8WNV7,SUB-3979,1
P04036,SUB-461,0
P07328,SUB-3430,0
Q93TJ5,SUB-6760,0
A0A1B1KJ01,SUB-4673,0
Q01284,SUB-10050,1
P07981,SUB-1680,0
Q6BCY4,SUB-2398,1
B9W4V6,SUB-8812,1
O15121,SUB-9632,0
Q9CRC0,SUB-2086,0
P00371,SUB-698,0
Q5W9R9,SUB-2845,0
Q02497,SUB-1044,0
B9W4V6,SUB-9744,0
P80679,SUB-4563,1
P04963,SUB-2284,0
P09870,SUB-5506,0
Q6AYS7,SUB-7576,1
A0A1L7NXK5,SUB-1592,1
P39633,SUB-4789,1
Q95VE7,SUB-3842,1
P22984,SUB-159,1
Q01911,SUB-7209,1
P21164,SUB-3795,0
P00634,SUB-2702,0
A4YGR1,SUB-1674,1
O95237,SUB-5512,1
Q6LUT2,SUB-6906,1
P76270,SUB-5530,0
P22303,SUB-242,0
E0Z1D2,SUB-7348,1
Q1XH05,SUB-7742,0
P61884,SUB-5522,1
P0A6L4,SUB-3438,0
Q96KP4,SUB-2712,1
A9QXE0,SUB-6252,1
A0A0E4B3N6,SUB-3775,0
P0AEK4,SUB-2408,1
P14920,SUB-6558,1
Q01911,SUB-2419,0
P31013,SUB-1022,1
A0A2H4RAB6,SUB-8906,1
A8W7J6,SUB-5649,0
Q5FSN8,SUB-4506,0
Q8X8Y1,SUB-789,0
P15559,SUB-10318,0
Q8H0L8,SUB-3928,0
P39849,SUB-3703,1
W6CX26,SUB-9544,0
Q46920,SUB-4719,0
P14384,SUB-1246,0
P05020,SUB-9427,1
P09623,SUB-5423,1
Q50EL0,SUB-5294,0
Q94AX4,SUB-4610,1
P00634,SUB-6143,1
A4LA85,SUB-3345,0
Q99JY8,SUB-4546,0
Q8RBF4,SUB-7437,1
P51857,SUB-9479,0
Q9EQV6,SUB-10061,0
P29141,SUB-8692,1
B1GV57,SUB-248,1
Q8RVP6,SUB-852,0
F6MZ55,SUB-6784,1
P17516,SUB-5311,1
P06802,SUB-8143,1
B1NY94,SUB-71,1
P72181,SUB-93,1
P05982,SUB-596,1
A0A0E3D8K7,SUB-7408,1
A0A166IXY4,SUB-8771,0
Q9NY33,SUB-9156,1
Q91WR5,SUB-9218,1
Q8TCG5,SUB-2867,0
P00327,SUB-4735,1
Q80WS1,SUB-8363,0
P75728,SUB-3821,0
Q9HA79,SUB-6846,1
Q9HA79,SUB-9725,0
Q8K4B7,SUB-2717,1
E3W9M3,SUB-6566,1
C7FF05,SUB-5468,1
Q8X8Y1,SUB-2135,1
C9JRZ8,SUB-2046,1
Q08257,SUB-7877,0
Q8YXV3,SUB-914,0
A5JTM5,SUB-701,1
A0A0H2ZB32,SUB-7457,1
A0A060PQX5,SUB-9946,1
Q9LHN8,SUB-3094,0
Q13822,SUB-8697,1
Q96DG6,SUB-3955,1
P06875,SUB-6825,1
H8WR05,SUB-4453,1
P53629,SUB-3871,0
P18548,SUB-986,1
Q9ZBB0,SUB-8969,1
G5EGA5,SUB-1825,0
A0A0H3K7V7,SUB-9054,0
P10959,SUB-6107,1
Q13126,SUB-7799,1
Q02068,SUB-228,0
C7FF05,SUB-6913,0
Q84L22,SUB-5981,1
P00634,SUB-8273,1
Q06174,SUB-4901,1
Q13126,SUB-810,0
P22869,SUB-7546,0
Q05469,SUB-8646,1
A0A0E4A9D6,SUB-269,0
P07024,SUB-9630,0
R9W5L0,SUB-5830,0
Q8A947,SUB-1061,0
P42785,SUB-8634,1
P00183,SUB-8570,0
O86089,SUB-4855,1
Q9HA79,SUB-7262,1
C7FF05,SUB-5986,1
P05793,SUB-7283,0
Q4Q3K2,SUB-3310,1
Q75V72,SUB-497,0
Q9WTL7,SUB-1644,1
P0A6W0,SUB-3537,0
P13569,SUB-1619,0
S5M6X9,SUB-7834,0
O32428,SUB-8441,0
Q4E4E7,SUB-8625,0
P19907,SUB-2692,0
P37058,SUB-4007,0
A4YGR1,SUB-6316,1
P97872,SUB-1544,1
I3ZTN9,SUB-1534,0
P07686,SUB-2340,0
P35738,SUB-6071,0
Q12556,SUB-7783,1
Q56813,SUB-1645,0
P10959,SUB-4060,1
Q8S3B6,SUB-8354,1
F9UM18,SUB-8046,1
P21219,SUB-4241,1
X5IDD2,SUB-1520,1
P31797,SUB-7373,0
Q9LCQ7,SUB-1807,0
O06652,SUB-6881,0
Q47690,SUB-3758,1
Q1K615,SUB-3199,1
B6ZKM3,SUB-9448,0
B6VGJ3,SUB-6033,0
P61431,SUB-4225,0
Q9WYR8,SUB-8944,1
O73949,SUB-4691,0
Q93HW0,SUB-7945,0
Q9ZSD6,SUB-6452,0
G1EFQ3,SUB-706,0
P49012,SUB-7209,1
P48425,SUB-8901,0
Q58820,SUB-1983,0
F1CMX3,SUB-9154,0
P21890,SUB-7924,0
Q84PN8,SUB-4412,1
P10323,SUB-4236,1
P38230,SUB-7474,0
D3KCC4,SUB-6286,0
P50162,SUB-8240,0
P04694,SUB-371,1
P54965,SUB-7121,1
B9W4V6,SUB-431,1
Q13093,SUB-495,1
C7FF05,SUB-5127,0
A4LA85,SUB-1783,1
Q1XH05,SUB-9758,1
G0RVK1,SUB-6256,0
Q84HQ2,SUB-664,1
G4WJC8,SUB-442,1
F6MZ55,SUB-9577,0
F5H5G0,SUB-5710,0
P97051,SUB-1199,1
Q10836,SUB-4511,0
Q58992,SUB-3873,0
Q8KZP9,SUB-1992,1
Q9D099,SUB-2915,0
Q59971,SUB-3759,1
Q02068,SUB-6036,1
A2VA43,SUB-1399,0
P30837,SUB-3515,1
P06875,SUB-6119,1
Q5FSJ2,SUB-5443,0
Q31QF3,SUB-7477,1
Q8U1K3,SUB-796,1
D4GP73,SUB-6994,1
P60891,SUB-5357,0
F2R038,SUB-7886,0
P0ADI4,SUB-6115,0
A2PZP3,SUB-3444,1
F2YCN5,SUB-3819,0
P08473,SUB-6032,1
Q670W0,SUB-6510,0
P49384,SUB-6713,0
P15559,SUB-5784,0
P06875,SUB-8544,0
Q16775,SUB-10115,1
P0ABR9,SUB-7348,1
A4QUT2,SUB-1376,0
Q9SGU9,SUB-8400,0
P21685,SUB-1678,1
C6A190,SUB-6682,1
P12530,SUB-4299,1
Q8RBF4,SUB-5484,0
A2DJ40,SUB-9774,1
P51058,SUB-391,0
G4I5P8,SUB-9295,0
Q9Z1N4,SUB-1966,1
Q25252,SUB-9931,0
P81535,SUB-1345,0
P80679,SUB-219,1
B9W4V6,SUB-2911,1
Q9ZP19,SUB-7219,0
Q1W622,SUB-2389,1
P77072,SUB-7626,1
Q9F131,SUB-4181,1
Q5BM20,SUB-1776,1
A6P7M9,SUB-4372,0
C9K2Z6,SUB-4055,1
Q9HK01,SUB-4038,0
F5H5G0,SUB-10053,0
P16406,SUB-8706,0
P0AEN1,SUB-7027,0
Q9UUB1,SUB-6595,1
A6P6V9,SUB-1074,1
P32169,SUB-2463,1
Q8X1D8,SUB-2782,1
Q8GR22,SUB-2765,0
P21219,SUB-6652,1
Q8KLT9,SUB-6877,0
G1T465,SUB-1578,1
I3RYX9,SUB-6585,1
P00492,SUB-3284,0
Q2Z1A8,SUB-8992,0
Q9RXX6,SUB-5059,1
P80679,SUB-5533,1
Q8K4B7,SUB-2103,0
Q972A9,SUB-7295,0
P08078,SUB-1649,0
P10959,SUB-7609,1
Q31QF3,SUB-10346,1
Q9JJN7,SUB-8442,1
B1P195,SUB-4156,0
B3Y018,SUB-3679,0
P80679,SUB-9942,0
C9JRZ8,SUB-2179,1
B1NY94,SUB-2379,0
A0A097ZMY7,SUB-1555,0
P15428,SUB-840,0
Q9X0D0,SUB-6099,1
Q84HQ2,SUB-27,1
A7Y7E1,SUB-3613,0
P50163,SUB-8118,0
P38230,SUB-6512,1
B1P195,SUB-3372,1
Q9USK0,SUB-1195,0
Q9UI17,SUB-7287,1
A0P0F6,SUB-2850,0
P24855,SUB-6677,1
B6F1A8,SUB-7086,0
Q8LP26,SUB-2868,1
Q9JLJ3,SUB-6417,1
P29141,SUB-5428,1
P06276,SUB-4606,1
C7FF05,SUB-897,0
G1JSL4,SUB-8553,0
P21890,SUB-7537,0
C7FF05,SUB-7848,1
Q8KLT9,SUB-6340,1
P32010,SUB-7592,0
P36269,SUB-9855,0
O65355,SUB-9119,0
P32396,SUB-7448,1
Q9U2M7,SUB-614,0
H8WR05,SUB-1862,1
Q7NXD4,SUB-1577,1
Q8IEK1,SUB-9309,1
G9FKH7,SUB-2879,0
D7UTZ8,SUB-8245,0
P37528,SUB-1110,1
P27707,SUB-1918,0
C4R4L0,SUB-6922,0
E9RIT0,SUB-2587,1
Q59477,SUB-4221,0
O52935,SUB-4261,0
Q63042,SUB-8529,0
O73957,SUB-1592,0
Q9R1T5,SUB-8385,1
P06276,SUB-8254,1
C9JRZ8,SUB-1206,0
P39462,SUB-2243,0
B9W4V6,SUB-4645,1
Q91ZV4,SUB-8966,0
P15559,SUB-6985,1
Q05754,SUB-5286,1
A0A097BPZ8,SUB-4713,0
Q9AGH8,SUB-3703,0
A0LRH8,SUB-5768,0
P60932,SUB-2816,1
P07205,SUB-9790,0
F6BL85,SUB-1420,0
P80679,SUB-7266,1
O75936,SUB-9062,1
A9ZPJ6,SUB-9314,1
P0ABF6,SUB-8496,0
P20035,SUB-5724,1
P81908,SUB-7007,1
Q5SLC4,SUB-5495,0
P21589,SUB-9808,0
G0RVK1,SUB-7533,1
L7R9X8,SUB-9661,0
P22498,SUB-7303,0
P36269,SUB-2962,1
E2GIN1,SUB-4272,0
P09668,SUB-4776,1
Q12556,SUB-2427,1
Q9FAB1,SUB-9161,0
Q51705,SUB-10263,1
P31013,SUB-4884,1
P09955,SUB-10165,0
Q04179,SUB-10017,0
Q7SIG4,SUB-5029,1
Q9Y9P9,SUB-450,1
P77044,SUB-3969,1
P0CG30,SUB-9388,0
P47934,SUB-7082,0
P04963,SUB-6757,1
P0A111,SUB-5,0
Q60FX6,SUB-5238,1
O94219,SUB-8839,1
Q9N119,SUB-4970,1
C9K2Z6,SUB-4092,1
P11349,SUB-5690,0
P30986,SUB-1817,0
Q9ANX4,SUB-7846,1
Q5EBM0,SUB-7762,0
Q52TE7,SUB-2890,0
A0A144KZJ7,SUB-9755,1
Q2UII1,SUB-5489,1
A0A0H2YQI3,SUB-2945,1
Q9I7I4,SUB-5021,1
P52705,SUB-821,1
Q8K4X7,SUB-3110,0
Q7X9A9,SUB-6742,1
Q55949,SUB-6846,0
Q9BT40,SUB-3867,0
J9PBS0,SUB-5450,1
Q9Y763,SUB-2374,1
P06622,SUB-5122,0
Q02068,SUB-6919,0
Q6QHF9,SUB-6583,1
A5JTM5,SUB-6287,0
P27707,SUB-1553,0
Q9XUS5,SUB-5522,1
P05982,SUB-3519,1
P41744,SUB-6256,1
Q9ANX2,SUB-1544,1
Q9X265,SUB-5121,0
P08253,SUB-6032,1
Q9WTL7,SUB-94,0
M1SQA1,SUB-2188,0
Q8WNV7,SUB-3335,1
Q8U4F6,SUB-8689,0
P23457,SUB-2775,0
P0CS93,SUB-8482,0
P12530,SUB-5539,1
Q5EG61,SUB-9050,0
P13154,SUB-4329,1
P39714,SUB-9468,0
P05793,SUB-2389,1
Q8VPD4,SUB-9310,1
Q04631,SUB-4621,1
P0A924,SUB-214,1
Q5W9R9,SUB-1425,0
P07872,SUB-3576,1
P00452,SUB-5189,1
P15636,SUB-6028,1
C9JRZ8,SUB-9052,0
P60584,SUB-7062,1
P20720,SUB-8607,0
Q8W162,SUB-5899,1
Q2UL94,SUB-7325,0
Q8BWF0,SUB-8752,0
P20960,SUB-3175,1
P26439,SUB-6682,1
Q8NK50,SUB-7926,1
P80025,SUB-3822,0
Q8QHL7,SUB-4611,0
Q9R5V5,SUB-2651,1
P07099,SUB-2888,0
P0AEK2,SUB-5805,0
P06185,SUB-9497,1
B6F1A8,SUB-4106,1
P07205,SUB-6041,1
Q93TJ5,SUB-4168,1
Q8J2T0,SUB-7273,1
M1JEK6,SUB-9899,0
Q9KH03,SUB-6015,0
Q05469,SUB-2353,1
P92979,SUB-4733,0
P20960,SUB-907,0
Q8BWF0,SUB-8486,1
Q57160,SUB-4166,1
P97872,SUB-6676,1
P35354,SUB-8284,0
Q6PF93,SUB-8110,0
Q99JW2,SUB-8862,0
O06401,SUB-7983,0
P22830,SUB-1249,1
Q15493,SUB-7505,0
Q1QBB9,SUB-3783,1
Q9JLJ3,SUB-8572,0
P20456,SUB-4169,1
Q2U7D3,SUB-6041,0
C6A190,SUB-7555,0
P07154,SUB-4266,0
P19971,SUB-9800,0
Q8R173,SUB-4483,1
A0A2Z5TTR4,SUB-9817,1
Q93XP7,SUB-1682,1
Q9I4G8,SUB-6732,1
Q58085,SUB-627,1
P45513,SUB-932,1
P12955,SUB-3410,1
P0ABJ1,SUB-5052,0
A4LA85,SUB-6178,0
Q75W71,SUB-7127,1
Q8TZP8,SUB-1916,0
O73949,SUB-4220,1
O27726,SUB-647,1
O93785,SUB-1205,1
Q9C0Y4,SUB-3747,0
P33316,SUB-4824,1
Q6AYS7,SUB-5536,1
Q92820,SUB-3206,1
P16116,SUB-3185,1
Q48230,SUB-1093,1
P48034,SUB-7805,1
Q44238,SUB-4066,1
Q9JHW9,SUB-10282,0
Q6YNI5,SUB-6390,1
O60259,SUB-3722,1
Q6WAU1,SUB-5859,1
P46154,SUB-2912,1
B2RKK0,SUB-9112,0
F1N9C1,SUB-1780,0
P00371,SUB-9541,1
D0ITF8,SUB-5009,1
Q01284,SUB-3704,1
P05982,SUB-8042,1
Q02068,SUB-6138,1
Q96KN2,SUB-218,1
Q59771,SUB-982,0
A0A1D8PG20,SUB-7597,1
O34934,SUB-9351,1
Q02928,SUB-4299,1
Q75UV1,SUB-6136,0
Q382X3,SUB-10265,1
P13114,SUB-3219,0
Q12556,SUB-2038,0
P48425,SUB-4788,1
O34807,SUB-9571,0
P22984,SUB-7607,0
C6A190,SUB-8946,0
P22303,SUB-1931,1
Q5QE78,SUB-2936,0
Q9F131,SUB-1375,1
Q9JLJ2,SUB-6251,1
Q6P1Y8,SUB-6500,0
O32125,SUB-1963,1
F5H5G0,SUB-4925,0
Q9KAN9,SUB-9345,0
Q9FLP9,SUB-1948,0
P22413,SUB-1682,1
Q9WYD4,SUB-4111,1
Q8NJP6,SUB-622,0
Q8IJ74,SUB-3898,1
C9JRZ8,SUB-2219,0
A0A1B1KJ01,SUB-7434,1
P49384,SUB-7256,0
Q9JKC1,SUB-652,0
Q6P549,SUB-4475,1
Q7S2S4,SUB-6350,0
P97562,SUB-7107,1
A0A081YAY5,SUB-3068,0
P08001,SUB-592,0
Q07794,SUB-658,1
P06802,SUB-5845,0
P29082,SUB-312,0
P18548,SUB-9770,1
P08319,SUB-3724,0
G1UBD1,SUB-166,0
O29786,SUB-3215,0
Q9WTL7,SUB-1075,0
Q6YNI5,SUB-2256,1
B9W4V6,SUB-6932,1
Q6Q272,SUB-6139,0
P11310,SUB-9988,1
Q80VQ0,SUB-5941,1
O09171,SUB-9043,1
P15309,SUB-9034,0
P35738,SUB-5963,0
Q2K0Q7,SUB-3248,0
P20576,SUB-640,0
F1T242,SUB-4936,0
P09411,SUB-3183,0
P09622,SUB-3983,1
Q8LAS8,SUB-9645,0
P11544,SUB-4149,1
Q8WTJ2,SUB-7008,1
Q55020,SUB-45,1
Q53389,SUB-4838,1
P06721,SUB-8730,0
Q96IY4,SUB-9163,1
Q6VVW9,SUB-780,0
Q8KZP9,SUB-9989,0
P07981,SUB-711,1
P50163,SUB-2214,0
E9P162,SUB-5304,1
O43837,SUB-10151,0
Q9UBV7,SUB-1259,0
Q16775,SUB-7768,1
Q0K4F5,SUB-5035,0
Q4WYG3,SUB-2878,1
Q92626,SUB-5374,0
P21219,SUB-4839,1
Q9K4U1,SUB-9799,1
H8WR05,SUB-6270,0
Q56268,SUB-289,0
P28845,SUB-6324,0
P9WKD3,SUB-2209,1
M4N626,SUB-5810,0
P28845,SUB-2607,0
Q8NJP6,SUB-6690,0
G0S3N2,SUB-10267,0
P51635,SUB-3964,1
Q12178,SUB-7015,1
Q7NM99,SUB-5559,1
A0A1L4AJD2,SUB-5481,1
P15309,SUB-8548,0
Q8VWZ7,SUB-5327,1
D3YBH2,SUB-2912,0
P37527,SUB-4283,1
P11546,SUB-9906,0
P37967,SUB-3375,1
O32125,SUB-7327,1
Q3ZFI4,SUB-2269,1
Q9P8P3,SUB-5543,0
Q04179,SUB-2182,0
A1BBA0,SUB-3553,0
B0FSQ0,SUB-9466,0
Q99JW2,SUB-6457,0
P42860,SUB-3608,0
P17109,SUB-715,1
C7FF05,SUB-10132,1
I0DHJ0,SUB-3336,0
Q6GMR7,SUB-5379,0
P37334,SUB-1584,0
P08955,SUB-135,0
Q06086,SUB-6099,1
O06401,SUB-5404,1
Q148L6,SUB-5905,1
P04963,SUB-3828,0
P62575,SUB-8235,1
Q2K0Q7,SUB-1460,1
D0VWQ0,SUB-6822,1
P37967,SUB-9484,1
Q07794,SUB-5469,0
Q8KZT4,SUB-9927,1
P00591,SUB-5623,1
Q8GDC9,SUB-1220,1
P04963,SUB-4436,1
Q9JJS6,SUB-2517,0
Q6DWK3,SUB-6912,1
Q9D379,SUB-7567,1
Q4H2B4,SUB-7721,1
Q9FEW9,SUB-5971,1
Q8W162,SUB-2184,0
P15086,SUB-5306,1
Q9NUW8,SUB-1482,0
Q62711,SUB-6561,0
Q2XQ11,SUB-7402,1
C6L7V8,SUB-9314,1
P46959,SUB-4552,0
P16116,SUB-8232,0
B5A496,SUB-7772,1
Q9UTR6,SUB-1065,0
Q50EK3,SUB-10036,0
P22318,SUB-9755,1
Q9Y3D8,SUB-3851,1
B9W4V6,SUB-6357,0
F8S123,SUB-2027,1
P9WPQ5,SUB-1664,0
P39701,SUB-9912,1
P27115,SUB-3815,1
P39714,SUB-7853,1
P31434,SUB-7795,1
Q0R3W5,SUB-4523,0
Q96KN2,SUB-3308,1
O59651,SUB-8238,1
Q1W2L4,SUB-764,1
P37967,SUB-6008,1
P21812,SUB-5501,1
P05982,SUB-3979,1
Q8L3C9,SUB-172,1
Q3I3W6,SUB-4919,1
P09622,SUB-5969,1
G1EMI7,SUB-4471,0
Q8NBN7,SUB-8713,1
Q02068,SUB-5571,1
A5H0J5,SUB-5157,0
P9WIE5,SUB-7658,0
E2GIN1,SUB-10025,1
Q9HFV6,SUB-8105,1
P13650,SUB-9951,0
Q8NKS0,SUB-5321,1
Q94FY6,SUB-6276,1
P30043,SUB-4888,0
P9WIN5,SUB-9275,1
Q8VPD4,SUB-8426,0
Q6DLR9,SUB-6467,1
Q00796,SUB-6024,0
Q9W6J2,SUB-6989,0
P80679,SUB-7874,1
P19971,SUB-4988,0
A0A060PQX5,SUB-914,0
P08337,SUB-9606,1
Q8UVJ2,SUB-8180,1
P32528,SUB-2010,0
Q9JJN7,SUB-453,1
P32131,SUB-8669,1
P0AET8,SUB-1560,1
P04425,SUB-1673,0
Q6PFW1,SUB-2819,0
O32323,SUB-6470,1
Q97UI4,SUB-10327,0
P11884,SUB-3826,0
Q5JFV8,SUB-5492,1
P80679,SUB-5280,1
P0A6L0,SUB-6509,1
Q5HH69,SUB-6805,1
P10959,SUB-3576,1
P15555,SUB-7240,1
C9JRZ8,SUB-7014,0
Q8ZR88,SUB-2757,0
Q00796,SUB-7210,0
Q67A25,SUB-9609,1
P15428,SUB-9855,1
Q8WNV7,SUB-2436,0
R9W5L0,SUB-6246,0
A0A1C3KUB4,SUB-2571,0
Q59771,SUB-3924,1
P0ACC7,SUB-7992,0
Q9HLD0,SUB-4878,0
O23888,SUB-7117,0
P48421,SUB-4697,0
Q9NVH6,SUB-6545,1
B1GY01,SUB-7403,1
E8MGH8,SUB-3399,0
Q6YGT5,SUB-2014,1
Q12737,SUB-3647,1
Q50EL0,SUB-6982,1
G1EFQ3,SUB-7292,1
E2GIN1,SUB-10235,0
P21219,SUB-9877,1
B9K0Q5,SUB-211,0
P21890,SUB-3979,1
P78329,SUB-10070,0
F6BL85,SUB-8708,0
P9WMY3,SUB-4757,0
B2ZRE3,SUB-3565,1
P15877,SUB-4067,0
Q97ZT3,SUB-2640,0
Q16719,SUB-6838,0
P9WQ61,SUB-7030,0
C9JRZ8,SUB-7126,0
Q8IZ52,SUB-7511,0
P10959,SUB-1690,0
P80679,SUB-3920,0
P05793,SUB-1986,1
P00634,SUB-4306,0
P29218,SUB-4271,1
P26439,SUB-3335,1
P15309,SUB-4788,1
Q02971,SUB-6528,0
Q53389,SUB-8952,0
V5YT97,SUB-8584,0
O75828,SUB-8312,1
Q5W9R9,SUB-10221,0
Q8L3C9,SUB-1247,1
Q02068,SUB-8479,1
P0A249,SUB-7960,0
P28891,SUB-1952,0
F9UM18,SUB-6234,1
P11884,SUB-7277,1
O14556,SUB-6353,0
P37528,SUB-3143,1
Q9UVP6,SUB-1480,0
Q8PDA8,SUB-2384,0
Q9H227,SUB-607,1
P19801,SUB-8560,0
Q07523,SUB-3656,1
P04963,SUB-9233,0
P00929,SUB-8543,1
M1SQA1,SUB-10314,1
Q9S3U5,SUB-219,0
P0AC75,SUB-1745,0
O75342,SUB-6771,1
P35610,SUB-1273,0
Q91XE4,SUB-527,0
P60472,SUB-3890,0
Q2UP30,SUB-7748,1
Q84QK0,SUB-2397,1
Q25252,SUB-3603,0
A0R607,SUB-7802,0
C9JRZ8,SUB-4028,0
P07202,SUB-1303,1
P00784,SUB-3646,0
P93149,SUB-8065,0
Q4R0H9,SUB-4235,0
Q84QK0,SUB-8243,0
P11349,SUB-2359,1
P00797,SUB-2260,0
Q6SSJ6,SUB-5148,1
Q16836,SUB-9958,1
Q9BW91,SUB-202,0
P27652,SUB-7317,0
P08955,SUB-6389,1
P06875,SUB-9735,0
B0F411,SUB-89,1
P20960,SUB-8957,1
P69441,SUB-6041,1
P23457,SUB-3140,0
P07862,SUB-2166,1
P15309,SUB-3852,0
Q6R7M4,SUB-5269,0
Q8RR58,SUB-3903,0
A0A0E3GVY6,SUB-2235,0
Q9BW91,SUB-3289,1
P34059,SUB-8899,0
Q3SFD8,SUB-3198,0
S5FPI8,SUB-4557,1
M4N626,SUB-9488,1
Q877I4,SUB-5522,1
P42535,SUB-6333,0
P0A6I0,SUB-8225,1
Q8WNV7,SUB-5598,1
V9HZX4,SUB-1666,0
Q08225,SUB-3657,1
P0A6L0,SUB-6795,1
A7LFP5,SUB-1395,0
O94219,SUB-5930,1
D7UTZ8,SUB-7711,1
Q564A6,SUB-973,1
G8H1L8,SUB-1960,0
P39849,SUB-6271,0
Q8NCE0,SUB-1586,0
P0ABF6,SUB-2115,1
Q2UXF7,SUB-455,1
Q9SMI2,SUB-3621,0
O87612,SUB-5387,0
Q12723,SUB-8118,1
P14920,SUB-5086,1
P07205,SUB-8927,0
P9WMN1,SUB-182,0
Q7S3U4,SUB-6615,0
A0A140CUL9,SUB-5424,1
P46010,SUB-8507,0
P33767,SUB-7598,1
Q6YNI5,SUB-2985,0
P0CS93,SUB-914,0
Q5BM20,SUB-5858,0
Q5AJX2,SUB-4602,1
Q672J9,SUB-10300,1
Q57VZ2,SUB-4082,1
Q9ZUX1,SUB-10208,0
M1SQA1,SUB-3152,0
P39315,SUB-5132,1
P0AGJ9,SUB-973,1
Q9HA79,SUB-3392,0
A2VA43,SUB-7806,1
A0PCH8,SUB-9708,0
P35354,SUB-924,0
E3W9M3,SUB-3982,0
P39482,SUB-8097,0
F1CMX3,SUB-9412,1
P26439,SUB-6333,1
P12265,SUB-7067,1
U6CL97,SUB-3515,1
P15428,SUB-1085,1
P51691,SUB-1336,0
A0A1L7NXK5,SUB-4397,0
P00191,SUB-3839,0
P26439,SUB-3979,1
A0A0C1Q6R1,SUB-7510,0
O81154,SUB-1657,1
Q60136,SUB-7265,1
P0A3G2,SUB-9993,0
Q62600,SUB-2628,0
P10297,SUB-4781,1
P39633,SUB-7651,0
